"AnnualCrops","BuiltUp","ConsolidatedBarren","NaturalGrassland","NaturalWoodedLand","PermanentCrops","PlantedForest","Shrubs","UnconsolidatedBarren","Waterbodies","Wetlands","SiteID","MajorityClass1"
1.65309647174932,6.76042437700469,15.4576856649396,0.715519368369109,4.19442388354305,1.65309647174932,0.456452010856156,66.8640513200099,0.0246730816679003,0,2.22057735011103,"s2lam015_231107","Shrubs"
0,0,0,0,92.9530614759148,0,6.93606012073426,0,0,0,0.110878403350992,"s2lam015_231118","NaturalWoodedLand"
0.232245446766899,9.04534897934238,13.8124923603471,0.146681334800147,0.0611172228333944,0.33003300330033,0,74.954162082875,0.0977875565334311,0,1.32013201320132,"s2lam015_231128","Shrubs"
0.037037037037037,3.64197530864198,0,0,75.8024691358025,0.135802469135802,5.65432098765432,0.0740740740740741,0,5.96296296296296,8.69135802469136,"s2lam016_230703","NaturalWoodedLand"
22.3522167487685,19.35960591133,0.0123152709359606,0.455665024630542,17.8817733990148,0.788177339901478,0.0492610837438424,0.20935960591133,0,0,38.8916256157635,"s2lam016_230711","Wetlands"
0.024835465044083,6.20886626102074,0.571215696013908,0.285607848006954,28.3000124177325,0.583633428535949,0.186265987830622,11.9086054886378,0.149012790264498,10.8530982242642,40.9288463926487,"s2lam016_230718","Wetlands"
0.236171535114978,0,0,0,98.4213797389683,0.0124300807955252,1.20571783716594,0.0124300807955252,0,0,0.111870727159727,"s2lam016_230725","NaturalWoodedLand"
0,0,0,0,99.8890532544379,0,0.0862919132149901,0,0,0,0.02465483234714,"s2lam016_230804","NaturalWoodedLand"
0,0,0,0,95.3950617283951,0,4.60493827160494,0,0,0,0,"s2lam016_230811","NaturalWoodedLand"
0.123946455131383,4.49925632126921,0.272682201289043,0.0991571641051066,72.3723351512147,0.37183936539415,1.165096678235,0.917203767972236,1.89638076351016,10.6098165592464,7.67228557263262,"s2lam016_230818","NaturalWoodedLand"
0.410039761431412,1.70228628230616,0.658548707753479,8.77236580516899,64.8856858846919,0.260934393638171,6.07604373757455,12.8727634194831,0,0,4.36133200795229,"s2lam016_230829","NaturalWoodedLand"
0.235615079365079,8.38293650793651,0.13640873015873,1.06646825396825,64.3477182539683,0.706845238095238,0.384424603174603,12.4255952380952,0,0.0496031746031746,12.2643849206349,"s2lam016_231011","NaturalWoodedLand"
0.455665024630542,21.1945812807882,0,0.258620689655172,54.0147783251232,1.71182266009852,0.344827586206897,0.0862068965517241,0.123152709359606,3.10344827586207,18.7068965517241,"s2lam016_231020","NaturalWoodedLand"
1.99454905847374,9.04360753221011,0.0743310208126858,3.3201189296333,27.8617443012884,1.48662041625372,0.173439048562934,12.2398414271556,0,0.012388503468781,43.7933597621407,"s2lam016_231027","Wetlands"
